query_id,query,lifeCycle,department,disease,correct_idx,correct_input,verified,tfidf_top5,sbert_top5,tfidf_score1,sbert_score1
Q025,"제 강아지가 호흡과 관련하여 질문이 있습니다. 최근에 강아지가 숨을 조금 더 빠르게 쉬는 경향이 있는 것으로 것 같는데, 혹시 어떤 질병이 나 통증이 있는 것인지 궁금합니다. 보호 장구 사용 요령에서 중요한 포인트를 알려 주실 수 있을까요 요점 위주로 부탁드립니다 간단히 알려 주실 수 있을까요?",성견,내과,기타,6958,저는 4개월 된 비숑을 기르고 있습니다. 현재 유치가 깨진거 같고 이로 인해 잇몸 주위가 부어올라 보이기도 하여 걱정이 되고 있습니다. 지금 상태가 괜찮은 걸까요? 병원에 바로 가...,True,"[6958, 11953, 15497, 1117, 12296]","[12254, 16547, 18516, 1611, 9825]",0.3606,0.8388
Q026,"강아지가 목에 무언가 걸린 듯한 상태로 켁켁거리며 기침을 하는 증상을 보이고 있습니다. 이번 월요일에 갑자기 이러한 증상이 나타났으며, 현재까지도 10회 이상 반복되고 있는 것 같습니다. 이와 같은 증상이 나타나는 이유는 무엇인지 알고 싶습니다. 금요일에 치킨 뼈를 급여한 일이 있는데, 그것과 관련이 있을까요?",성견,내과,위장관폐색,9920,"제 강아지가 목에 무언가 걸린 듯이 지속적으로 켁켁거리고 있으며, 코가 막힌 것처럼 자주 숨을 헐떡입니다. 이러한 증상은 단지 한 번만 발생한 것이 아니라 가끔씩 반복되고 있습니다...",True,"[9920, 8730, 15540, 15197, 4257]","[4748, 6633, 11761, 7465, 14466]",0.2125,0.8271
Q027,"현재 6세 된 시바가 누의 중성화되지 않은 수컷을 기르고 있습니다. 강아지는 현재 4층 계단을 오를 때 잠시 쉬었다 올라가 고 있으며, 저녁 시간에는 엎어진 자세로만 누워 있는 것으로 모습을 보이고 있습니다. 오늘 아침에는 강아지의 상태가 더욱 악화되어 엎드린 자세에서 돌려 앉은 것도 어려워 보였으며, 평소처럼 쾌활하게 걷지 않고 있는 것으로 것 같습니다. 새로운 환경에 도착했을 때 원래는 매우 활발한 반응을 보였으나, 이번에는 기력이 떨어진 듯하며 좌석에 올라가 는 것도 불편해 보입니다. 아울러, 강아지는 이미 2년 전부터 혈뇨를 경험해왔으며, 초기에는 소변을 보지 못해 요도 확장제와 염증 치료제를 투여한 바 있습니다. 이러한 요도 확장제를 1년이 량 사용했으나, 여전히 소변을 잘 보지 못하고 약하게 보다가 현재는 혈뇨 증상이 나타나고 있습니다. 초반에는 소변이 시작할 때 한 방울씩 나왔지만, 최근에는 소변을 한꺼번에 볼 때에는 혈뇨가 보이지 않고 몇 방울씩 피가 섞여 나오고 있으며, 약을 복용할 때는 상태가 괜찮았습니다. 하지만 하루 동안 식욕 부진을 보이고 꼬리가 처지는 모습이 관찰되었으며, 창문에 설 때에는 머뭇거리는 행동을 보였습니다. 뒷다리에 표피염이 3차례 발생하여 치료를 받은 이력이 있으며, 피는 주로 소변의 앞부분에서 나오는 것으로 확인되었습니다. 3-5개월 전에는 항생제를 복용한 것 또한 사실이 며, 뇨검사에서 대장균이 발견되었다고 들었습니다. 항염 외용제 사용을 시작할 때 흔히 하는 실수도 알려 주실 수 있을까요? 피부 장벽 회복을 주간 계획으로 어떻게 배치하면 좋을까요 비슷한 질환과 구분 기준도 알려 주실 수 있을까요? 검사 우선순위에서 중요한 포인트를 알려 주실 수 있을까요 비슷한 질환과 구분 기준도 알려 주실 수 있을까요 주의할 점도 함께 알려 주세요. 내원 시점을 집에서 실천할 때 꼭 지켜야 할 점이 있을까요 주의할 점도 함께 알려 주세요.",성견,내과,기타,17836,"14세의 중성화된 수컷 말티즈입니다. 4층 계단을 오르내릴 때 쉬어가며 올라가고 있으며, 저녁에는 엎드린 자세로만 누워 있는 경우가 많습니다. 오늘 아침에는 상태가 더욱 악화되어 ...",True,"[17836, 14249, 15556, 5708, 635]","[15556, 14249, 17836, 14201, 4777]",0.3718,0.8944
Q028,"저희 개는 현재 11세입니다. 개의 전반적인 행동이나 식사 상태는 모두 양호하나, 항문 부위에 고름과 피가 보이며 그 상태가 더욱 악화되고 있습니다. 병원에 데려가고 싶으나, 개가 매우 사나운 탓에 어려움을 겪고 있습니다. 이와 관련하여, 집에서 할 수 있는 치료 방법이 있을지 문의 드립니다. 참고로 동물병원에서 구매한 핑크 스프레이를 가끔 뿌리고 있습니다.",성견,외과,기타,9553,"제 강아지는 현재 11세입니다. 일반적으로 움직임과 식사는 모두 양호합니다. 그러나 최근에 항문 부위에 고름과 같은 물질이 보이고 피가 흐르는 증상이 나타났고, 이 증상은 시간이 ...",True,"[9553, 16591, 2913, 8202, 2078]","[9553, 16733, 6916, 2484, 6518]",0.3271,0.9314
Q029,"저는 아가 와 함께 산쪽으로 훈련을 다녀왔는데, 돌아와서 보니 상처 부위가 있어서 진드기에 물린 건 아닐까 싶어요. 다행히 심장사상충 예방은 꾸준히 잘 해오고 있고, 진드기는 이미 떨어진 것 같긴 한데, 혹시 다른 문제가 생길 가능성은 없을 지 걱정돼요. 재발 예방과 관련해 권장 기준을 알려 주세요 비슷한 질환과 구분 기준도 알려 주실 수 있을까요 짧게 정리해 주시면 좋겠습니다. 목욕과 보습을 주간 계획으로 운용하려면 어떻게 하면 좋을까요 요점 위주로 설명해 주세요. 내원 시점의 핵심 기준을 알려 주실 수 있을까요 요점 위주로 설명해 주세요.",성견,내과,기타,6201,"가끔씩 제 강아지가 지나치게 흥분하는 상황에서는 호흡이 힘들어하는 모습을 보입니다. 현재 저는 한 달에 한 번 심장사상충 예방약을 복용시키고 있으며, 활발하게 놀고 식사도 잘 하고...",True,"[6201, 10747, 9106, 17634, 276]","[1680, 2143, 12972, 18217, 15832]",0.3519,0.8026
Q030,"저희 반려견은 17세된 중성화된 수컷 말티즈입니다. 간식을 급여한 후 일시적으로 기침이 심해지고 호흡이 나빠진 적이 있었지만 현재는 호흡이 안정되었습니다. 앞으로 간식을 주실 때는 소량씩 나누어 주시는 것이 좋을까요? 더불어 제 반려견은 기저에 심장질환과 기관 허탈이 있는 상태이기 때문에, 미용 등으로 인해 스트레스를 유발하는 상황이 위험할 수 있다고 들었습니다. 혹시 그러한 점에서 주의해야 할 사항이 있을지 궁금합니다. 혹시 동물병원에서도 기본적인 관리인 발털 및 귀 관리 정도는 가능한지 알고 싶습니다.",성견,내과,기타,6480,"중성화된 암컷 포메라니언이 10세로, 오랫동안 같이 해온 아가 입니다. 현재 이 강아지는 식욕이 크게 감소하였고, 호흡이 힘들어 보인다는 자각 증상을 나타내고 있습니다. 특히, 호...",True,"[6480, 7523, 18129, 7802, 1961]","[11352, 2812, 15883, 10436, 8078]",0.1211,0.8504
Q031,"제 강아지가 노견인데, 입에서 나는 악취가 매우 심각합니다. 껌을 제공해 보았으나 별다른 효과 를 느끼지 못하였습니다. 이러한 상황에서 제가 어떤 조치를 취해야 할지 조언을 주실 수 있을까요? 약물 복용과 부작용을 어떻게 판단하면 좋을까요 간단히 알려 주실 수 있을까요 간단히 알려 주실 수 있을까요 간단히 알려 주실 수 있을까요 간단히 알려 주실 수 있을까요 간단히 알려 주실 수 있을까요 간단히 알려 주실 수 있을까요 간단히 알려 주실 수 있을까요 간단히 알려 주실 수 있을까요 간단히 알려 주실 수 있을까요 핵심만 알려 주실 수 있을까요? 초기 악화 대처에 관해 요점만 알려 주세요 짧게 설명해 주실 수 있을까요 핵심만 부탁드립니다. 재발기의 신호와 관련해 권장 기준을 알려 주세요 짧게 설명해 주실 수 있을까요 간단히 알려 주실 수 있을까요? 약 복용 시간 관리에 관해 핵심만 짚어 주실 수 있을까요 요점 위주로 설명해 주세요 핵심만 부탁드립니다. 스트레스 관리에 대해 단계별로 설명해 주실 수 있을까요 바로 실천할 수 있게 정리해 주세요 핵심만 부탁드립니다. 검사 우선순위를 시작할 때 흔히 하는 실수도 알려 주실 수 있을까요 현실적으로 적용하는 요령도 알려 주세요 주의할 점도 함께 알려 주세요.",성견,치과,기타,3043,강아지 슬개골 수술 방법인 안티로테가 션 수술법과 TTT 수술법 사이의 차가 점에 대해 자세히 설명해 주실 수 있으신지요? 운동량 조절을 어떻게 판단하면 좋을까요 간단히 알려 주실...,True,"[3043, 15497, 17281, 12754, 10459]","[52, 11797, 11338, 12927, 452]",0.8502,0.8519
Q032,"저희 집 강아지의 눈이 뿌옇게 변한 것 같은데, 이 상태가 백내장일 가능성이 있는지 궁금합니다.",성견,안과,기타,700,제가 관찰하기로는 제 반려견의 눈이 뿌옇게 변한 것 같습니다. 이는 혹시나 무엇인가 아픈 징후일까요?...,True,"[700, 13303, 12131, 17052, 15208]","[13303, 17007, 11927, 12131, 16311]",0.3586,0.8721
Q033,제 반려견의 오줌에서 검은 날카로운 유리조각과 유사한 물체가 발견되었습니다. 이러한 물체는 잘 부서지는 특성을 지니고 있습니다. 이에 대해 전문이의 조언을 부탁드립니다.,성견,내과,기타,14904,"제 강아지의 눈 안에서 검은 색의 물체를 발견하였습니다. 강아지가 자고 있을 때 흰자 위에 그 검은 색 물체가 보이는 것을 확인하였는데, 눈꼽처럼 보이지는 않습니다. 이와 같은 증...",True,"[14904, 6272, 1527, 696, 16478]","[10595, 7017, 17091, 16362, 8422]",0.1911,0.8025
Q034,"제 반려동물이 포메라니안으로, 현재 2년 7개월이며, 체중은 3.5kg입니다. 이 반려동물은 중성화 수술을 시행하였고, 체형은 평균적인 상태를 유지하고 있습니다. 주로 실내에서 생활하며, 운동은 주 1회에서 2회 정도 산책을 시켜주고 있습니다. 간식은 거의 매일 제공하고 있으며, 양치질은 주 1회 실시합니다. 배변 활동은 일 1회에서 2회 정도 있으며, 배변과 소변의 상태는 모두 정상입니다. 알레르기는 섭취로 인해 나타나고 있으며, 슬개골 탈구증은 치료를 마쳤으나, 피모 상태의 불량은 현재 치료 중입니다. 이러한 상황에 대해 궁금한 점이 있어, 반려동물의 건강에 미치는 영향을 알고 싶습니다.",성견,내과,기타,7315,"반려동물의 건강에 관하여 몇 가지 궁금한 점이 있습니다. 제가 기르고 있는 반려동물은 믹스견으로 현재 15세이며, 체중은 약 3.8kg입니다. 현재 중성화 수술을 받은 암컷으로, ...",True,"[7315, 997, 3061, 9312, 6510]","[17953, 1233, 9312, 8568, 14619]",0.4102,0.9318
Q035,"강아지가 갑자기 귀를 지속적으로 긁은 모습을 관찰하였는데, 그 상태가 매우 염려스럽습니다. 이러한 증상이 발생한 이유와 그 원인에 대해 알고 싶습니다. 또한, 이러한 상태가 어떤 질병이 나 문제와 관련이 있는지도 궁금합니다. 진드기와 곰팡이 에 관해 집에서 관리할 때 주의할 점을 정리해 주실 수 있을까요? 진드기와 곰팡이 에 관해 감별해야 할 질환을 핵심만 알려 주실 수 있을까요?",노령견,피부과,외이염,15742,강아지가 곰팡이 피부병에 걸린 것인지 궁금합니다. 몸 여러 부위에 딱지가 형성되어 있는 것으로 것 같습니다. 피부와 곰팡이 에 관해 집에서 관리할 때 주의할 점을 정리해 주실 수 ...,True,"[15742, 9360, 3877, 9251, 12747]","[14830, 7339, 13402, 890, 14294]",0.3946,0.8519
Q036,"어젯밤에 12세인 제 강아지가 갑자기 몸을 휘저으며 경련을 일으키고, 소리를 지르며 바닥에 오줌을 싸고 구토를 하였습니다. 이러한 증상을 지켜보았을 때, 이 강아지가 어떤 심각한 질병에 걸린 것은 아닐까 하는 것입니다. 하지만 현재 강아지가 다시 괜찮은 것처럼 보이긴 합니다. 혹시 이 증상으로 인해 강아지가 죽을 수도 있는 것인지 궁금합니다.",노령견,내과,기타,8046,"강아지가 경련을 일으키고 있으며, 몸을 제대로 움직이지 못하고 있는 상황입니다. 이러한 증상에 대한 원인과 대처 방안에 대해 문의드리고자 합니다....",True,"[8046, 17019, 2761, 18334, 9850]","[14058, 8033, 15270, 14550, 18844]",0.2232,0.8176
Q037,"애기 때부터 슬개골이 탈구된 상태였는데, 최근 병원을 방문했을 때 3기로 진단받아 수술을 권장받았습니다. 당장은 수술이 불가능한 상황이어서 약물 처방을 받고, 카페에서 본 슬개골 운동을 참고하여 다리를 손으로 왔다 갔다 해 주는 운동을 시도했습니다. 그러나 그 이후로 우리 강아지의 다리 상태가 더욱 악화되었습니다. 이전에 수의사께서 수술이 필요한 것은 맞지만, 지금까지 6년을 잘 지내왔으며 근육도 충분하기 때문에 반드시 수술을 하지 않아도 될 것이라고 하셨기에 이렇게 지내온 것이 너무 미안하고 슬픕니다. 제가 왜 그런 판단을 하였는지, 그리고 잘 알지 못하면서 괜히 시도한 것이 너무 후회스럽습니다. 다음 주에 다리 수술을 계획하고 있지만, 현재 다리에 손이 닿기만 해도 뼈가 움직이는 것이 느껴집니다. 쭈그려 앉아 있을 때마다 걱정이 밀려옵니다. 며칠 전까지만 해도 30분 이상 운동을 거뜬히 하던 강아지가 오늘은 10분 동안 걷는 것조차 지쳐 헥헥거리며 느리게 걷고 있는 모습을 보니, 더운 날씨 때문일까 하는 생각도 드는 반면, 그것은 아닌 것 같습니다. 제가 주인으로서 자격이 있는지 의심스럽습니다. 자취를 하다가 1년 반 만에 돌아와서 잘해주고 싶었으나, 제가 돌아온 뒤로 모든 것이 잘못되고 있는 것 같은 느낌입니다.",노령견,외과,기타,11708,"3일 전에 고관절 수술을 받고 오늘 퇴원하였습니다. 집에 돌아온 후 뒷다리를 왔다 갔다 하게 하는 운동을 시켜 보았는데, 그 부위에서 미세한 출혈이 발생하였습니다. 이러한 상황이 ...",True,"[11708, 13865, 1884, 8352, 1932]","[18805, 2603, 11719, 11980, 15749]",0.1234,0.8611
Q038,"2세의 중성화되지 않은 수컷 스피츠가 최근 들어 일부 특정 행동에서 이전과는 다른 양상을 보이고 있으며, 이로 인해 불안감이 들고 있습니다. 특히, 강아지는 자주 짖거나 흥분되는 모습을 보이고 있습니다. 이러한 행동 변화가 심리적 문제와 관련이 있을 가능성에 대해서는 어떻게 생각하십니까?",노령견,내과,기타,10250,"최근 반려견이 평소와 는 다른 이상한 행동을 보이고 있어 매우 염려됩니다. 예전에 비해 소리에 더욱 민감하게 반응하며, 작은 자극에도 깨갱거리거나 소리를 지르는 모습을 발견하였습니...",True,"[10250, 14911, 11614, 8286, 673]","[10250, 15526, 17917, 2193, 5853]",0.1849,0.825
Q039,"강아지 몸에서 나오는  액체가 방광에서 나오는 오줌인지 자궁 쪽에서 나오는 분비물인지잘 모르겠어요. 자꾸 찔끔찔끔 나오는데, 어떤 문제로 인한 것인지 잘 구분이 안 되어서 불안합니다. 혹시 자궁에 문제가 생긴 건 아닌지 걱정되기도 합니다. 병원에 가서 초음파 검사를 받는 게 좋을까요?",노령견,내과,기타,6989,"저희 강아지가 6세인 암컷인데, 최근에 배를 만지다가 젖이 나오는 것을 발견하였습니다. 이 젖은 하얀색이며, 이전에 2세 또는 3세 때 교배를 한 경험이 있는데 그때 임신에는 이르...",True,"[6989, 11240, 15705, 7762, 15579]","[223, 18410, 18600, 3144, 9385]",0.1645,0.7909
Q040,"강아지의 송곳니 위치에 이빨리 2개가 있는 것으로 상황인데, 추가적인 검진을 위해 동물병원을 방문해야 하는지 궁금합니다. 산책 시 주의를 어떻게 판단하면 좋을까요 간단히 알려 주실 수 있을까요 간단히 알려 주실 수 있을까요 간단히 알려 주실 수 있을까요 간단히 알려 주실 수 있을까요 간단히 알려 주실 수 있을까요 간단히 알려 주실 수 있을까요 간단히 알려 주실 수 있을까요 간단히 알려 주실 수 있을까요 핵심만 알려 주실 수 있을까요? 재발기의 신호에서 중요한 포인트를 알려 주실 수 있을까요 간단히 알려 주세요 실행 순서로 안내해 주실 수 있을까요? 귀·발 관리의 경과를 어떤 기준으로 확인하면 좋을까요 현실적으로 적용하는 요령도 알려 주세요 간단히 알려 주실 수 있을까요?",노령견,치과,기타,3043,강아지 슬개골 수술 방법인 안티로테가 션 수술법과 TTT 수술법 사이의 차가 점에 대해 자세히 설명해 주실 수 있으신지요? 운동량 조절을 어떻게 판단하면 좋을까요 간단히 알려 주실...,True,"[3043, 7296, 2225, 6408, 9303]","[15790, 1183, 9851, 877, 8606]",0.8651,0.8836
Q041,"중성화 수술은 반드시 시행해야 하는 것인지 궁금합니다. 특히 중성화 수술이 반드시 필요한지, 혹은 시행하는 것이 유리한 것인지에 대한 의문이 있습니다. 또한, 7세 이후에는 노화로 인해 암컷의 경우 자궁이나 유방 관련 질환이 발생할 가능성이 증가한다고 들었습니다. 어릴 때 입양 시 중성화를 실시하는 것이 좋다는 조언을 받았는데, 제가 현재 4살 된 암컷 말티즈를 입양한 상황에서 여전히 중성화를 진행하지 않은 상태입니다. 이러한 경우 수술을 진행하는 것이 바람직할까요?",노령견,외과,자궁축농증,7673,"현재 6세의 체중이 10kg인 웰시코기 암컷 강아지가 있습니다. 이 강아지는 중성화 수술을 받지 않은 상태이며, 여전히 생리를 하고 있는 상황입니다. 이 경우, 중성화 수술을 받는...",True,"[7673, 12073, 17559, 11680, 10294]","[11920, 9709, 8322, 13086, 12435]",0.2393,0.8365
Q042,저희는 올해 13살이 된 시츄 암컷 강아지를 키우고 있습니다. 노령견으로 나이가 많은 편인데 요즘 들어서 집 안에서 주로 누워만 지내고 기운이 없는 모습입니다. 돌아다니는 것도 거의 하지 않고 있습니다. 이러한 이상 현상이 갑작스럽게 나타나서 매우 걱정이 됩니다. 아침 시간에 용변을 보러 나갈 때는 여전히 잘 걷고 돌아다니는 모습이 보입니다. 도대체 왜 집에 있을 때만 이렇게 기운이 없고 무기력한지 궁금합니다.,노령견,내과,기타,10251,"나이가 많은 반려견의 눈이 최근에 하얗게 변한 것처럼 보이는데, 이로 인해 백내장이 발생했을 가능성에 대해 매우 걱정하고 있습니다. 그 강아지가 돌아다니는 모습을 보아할 때, 시력...",True,"[10251, 15830, 16129, 9519, 2422]","[7549, 5509, 3115, 9532, 6492]",0.141,0.797
Q043,"제 강아지가 계속해서 몸을 떨고 불안하게 돌아다니며 중간중간 팔을 뻗는 자세를 취하고 있습니다. 식욕은 없진 않지만 저녁에 닭가슴살을 조금 먹었습니다. 이러한 상황이 많이 걱정되는데, 현재 밤이라 근처에 병원도 없어 난처한 상황입니다.",노령견,내과,기타,10026,"저희 강아지가 자주 소변을 보려는 자세를 취하고 있는데, 대변인지 소변인지에 대해서는 확신이 없습니다. 애완견은 암컷이며, 아무런 배출도 없이 그 자세를 반복적으로 취하고 있습니다...",True,"[10026, 18215, 12536, 159, 14050]","[6143, 16894, 6294, 19170, 5808]",0.1557,0.7894
Q044,"제 비숑 프리제가 4개월 된 남아이며, 현재 체중은 2kg입니다. 이 강아지는 아직 중성화 수술을 받지 않았습니다. 현재로서는 체형이 말랐다고 평가되며, 주로 실내에서 생활하고 있습니다. 저는 강아지를 주 3회에서 5회 정도 산책시키고 있으며, 간식은 주 1회에서 2회 정도 주고 있습니다. 양치질은 거의 하지 않고 있는 상황입니다. 배변 활동은 하루 1회에서 2회 정도로 정상적인 상태이며, 변과 소변도 모두 정상입니다. 알레르기 문제는 없으며, 이전에 소화기 질환 치료를 마친 경험이 있습니다. 이정도로 아이를 케어하면 되는지 궁금합니다.",노령견,내과,기타,7315,"반려동물의 건강에 관하여 몇 가지 궁금한 점이 있습니다. 제가 기르고 있는 반려동물은 믹스견으로 현재 15세이며, 체중은 약 3.8kg입니다. 현재 중성화 수술을 받은 암컷으로, ...",True,"[7315, 2393, 18450, 6494, 14387]","[4311, 18069, 15483, 7727, 12844]",0.3598,0.8631
Q045,"안녕하세요. 현재 1년 6개월 된 1.4kg의 말티즈를 돌보고 있습니다. 얼마 전 문에 부딪혀 쓰러진 후, 즉시 입원하여 주사를 맞고 산소실에서 치료를 받다가 안정된 상태를 회복하여 오늘 퇴원하였습니다. 지금은 중심을 잘 잡고, 가족들을 모두 알아보며 꼬리도 흔들고는 있지만, 이전과 달리 혀를 계속 내밀고 있는 모습이 보입니다. 인터넷에서 확인해보니 뇌진탕의 증상으로 혀를 내밀기도 한다고 하더군요. 저희 강아지가 아직 완전히 회복되지 않은 것인지 궁금합니다. 처음 병원에 갔을 때 뇌출혈의 가능성도 있다고 해서 MRI 촬영을 고려했으나, 상태가 많이 좋아져 퇴원하게 되었습니다. 다른 증상은 다 정상적인데, 예전과 다르게 지속적으로 혀를 내밀고 있는 것이 매우 걱정이 됩니다. 혹시 추가적인 검사가 필요한 것인지, 아니면 시간이 지나면 자연스럽게 돌아올 수 있는 것인지에 대해 궁금합니다. 답변 부탁드립니다.",노령견,외과,기타,13272,경과 기록 방법을 짧게 요약해 주실 수 있을까요 현실적으로 적용하는 요령도 알려 주세요. 목욕제 선택에 관해 요점만 알려 주세요 요점 위주로 설명해 주실 수 있을까요? 현재 1년 ...,True,"[13272, 7262, 2095, 8605, 16118]","[4770, 13281, 6150, 5499, 756]",0.3543,0.8329
Q046,"저희 강아지가 현재 체중이 약 11킬로그램인데, 적정 체중이 대략 7킬로그램 정도라고 들었습니다. 일일 운동량은 상당히 많아 하루에 최소 1시간 이상 산책을 하고 있습니다. 그러나 강아지가 3살이 되면서 다리 휨이 눈에 띄고, 코도 벌써 벗겨지는 증상이 나타나 걱정스럽습니다. 노화의 징후가 이미 보이고 있는 것으로 것 같습니다. 현재 3개월째 자연식을 하고 있으며, 고기 6: 곡식류 2: 야채류 2 비율로 식단을 구성하고 있습니다. 그러므로 자연식을 통해 다가 어트를 할 수 있는 것으로 방법에 대해 조언을 부탁드립니다. 알레르겐 회피를 짧게 요약해 주실 수 있을까요 요점 위주로 부탁드립니다. 귀·발 관리를 어떻게 판단하면 좋을까요? 식이 조절과 간식을 주간 일정으로 어떻게 배치하면 좋을까요 요점 위주로 부탁드립니다.",노령견,내과,기타,2985,"토가 푸들이 건강에 관한 전문이의 조언을 원합니다. 특히 심혈관질환을 치료 중에 있는 것으로 데, 이와 관련하여 어떤 사항에 주의를 기울여야 할지 궁금합니다. 환경 관리를 주간 일...",True,"[2985, 19093, 18987, 4414, 8514]","[12385, 13498, 5533, 4019, 13983]",0.1876,0.815
Q047,"강아지가 쿠싱증후군에 걸렸는지 궁금합니다. 저희 할머니 댁에 방문할 때마다 제 강아지의 피부 상태가 악화되고 있는데, 특히 허리와 꼬리 부분의 털이 매우 푸석푸석해지고 각질이 발생하고 있습니다. 이에 따라 인섹트 프로틴 사료로 변경하고 영양제도 급여하고 있으나, 각질은 많이 개선된 반면에 푸석한 털과 탈모는 여전히 그대로인 듯합니다. 오히려 상황이 더 심각해진 것처럼 느껴집니다. 물을 마시는 양이나 소변량, 배의 볼록함은 일반적인 상태입니다. 코의 잔등, 양쪽 옆구리, 양쪽 귀에서 탈모가 심하게 진행되고 있으며, 나머지 부위의 털은 잘 자라고 있는 상태입니다.",노령견,내과,부신피질기능항진증,17253,"할머니 댁에 있는 강아지가 피부병의 증상을 보이는 것 같습니다. 이에 대해 구체적으로 어떤 질병인지 알려주실 수 있으며, 치료 방법은 어떻게 진행되는지 궁금합니다....",True,"[17253, 7842, 14193, 9596, 6840]","[14056, 12550, 7794, 14269, 3602]",0.1435,0.8241
Q048,"저는 강아지를 키우고 있는데, 치아에 통증이 생겼을 때 아이도 사람처럼 아파하겠죠? 강아지도 치통을 느낀다면 얼마나 아픈 건지, 또 그런 통증이 있을 때 보호자인 제가 어떤 행동을 통해 알아차릴 수 있는지도 알고 싶어요. 아이가 말을 못 하니까 더 조심히 살펴보게 됩니다.",노령견,치과,기타,15139,"저희 아이 이빨에 갈색 점이 생겼습니다. 단순한 치석일 수도 있지만 혹시 충치일까 봐 걱정됩니다. 강아지도 충치가 생길 수 있는지, 충치라면 사람처럼 치료가 가능한지 아니면 발치를...",True,"[15139, 17131, 4323, 3020, 16919]","[6226, 14412, 16137, 16277, 6085]",0.1401,0.8138
Q049,제 강아지의 눈꺼풀에 어떤 이상한 것이 생겼습니다. 아이도 불편해하는것 같고 눈을 자극하는것  같습니다. 이와 같은 증상이 나타나는 이유는 무엇인지 궁금합니다. 저는 13살의 노령견을 기르고 있습니다.,노령견,안과,결막염,9185,"저희 강아지가 9세의 말티즈인데, 눈꺼풀에 상처가 있는 것으로 것 같습니다. 이와 같은 상태의 눈꺼풀에 대해 확인해 주실 수 있으신지요? 산책 시 주의에 대해 단계별로 설명해 주실...",True,"[9185, 18142, 2340, 13800, 5804]","[6085, 10034, 2986, 7880, 16332]",0.2339,0.8283
Q050,"최근의 개들의 평균 수명은 대체로 어떻게 되는지 궁금합니다. 제가 아는 지인의 반려견이 최근에 세상을 떠난 일이 있어서, 저희 반려견도 같은 상황에 처할까 염려가 됩니다.",노령견,내과,기타,8735,강아지의 일반적인 평균 수명은 대체로 얼마 정도로 예상할 수 있을까요?...,True,"[8735, 359, 784, 18291, 2378]","[5016, 2378, 2163, 7369, 784]",0.2769,0.811
